submission_date,state,tot_cases,tot_death
2022/01/16,WY,126468,1588
2022/01/16,NY,2397668,24750
2022/01/16,KY,975346,12518
2022/01/16,NH,235898,2079
2022/01/16,OK,811389,11740
2022/01/16,NM,398939,6145
2022/01/16,NE,383915,3540
2022/01/16,CA,6789403,76940
2022/01/16,RI,302109,3175
2022/01/16,AK,172329,955
2022/01/16,WI,1297612,11649
2022/01/16,HI,165622,1115
2022/01/16,NC,2011302,19903
2022/01/16,WV,387115,5516
2022/01/16,MS,634628,10625
2022/01/16,IL,2589640,32532
2022/01/16,FL,5041918,63090
2022/01/16,NJ,1994502,30089
2022/01/16,MN,1138246,11111
2022/01/16,CT,637572,9556
2022/01/16,AR,681176,9434
2022/01/16,VA,1368271,15809
2022/01/16,NV,572769,8627
2022/01/16,MI,1984056,30709
2022/01/16,LA,996623,15137
2022/01/16,IA,645410,8201
2022/01/16,KS,621273,7162
2022/01/16,VT,77375,465
2022/01/16,ME,160857,1658
2022/01/16,ND,195545,2047
2022/01/16,MO,1181515,16614
2022/01/16,OH,2384107,30922
2022/01/16,PA,2458722,38619
2022/01/16,MD,906209,12718
2022/01/16,IN,1425877,20226
2022/01/16,MT,212078,2945
2022/01/16,OR,513391,5883
2022/01/16,WA,1041456,10196
2022/01/16,AZ,1609792,25211
2022/01/16,UT,750334,3951
2022/01/16,CO,1103720,10616
2022/01/16,SC,1148579,14915
2022/01/16,TX,5522176,75996
2022/01/16,ID,340857,4274
2022/01/16,SD,203137,2559
2022/01/16,TN,1618310,21479
2022/01/16,DE,227594,2424
2022/01/16,GA,2113319,31928
2022/01/16,AL,1064539,16734
2022/01/16,MA,1426283,20939
2022/01/15,OK,811389,11740
2022/01/15,WI,1297612,11649
2022/01/15,AR,675790,9430
2022/01/15,FL,5041918,63090
2022/01/15,SC,1148579,14915
2022/01/15,NV,572769,8627
2022/01/15,ND,194478,2047
2022/01/15,VT,77375,465
2022/01/15,NY,2374952,24684
2022/01/15,IN,1425877,20226
2022/01/15,OH,2357990,30922
2022/01/15,WA,1041456,10196
2022/01/15,MA,1426283,20939
2022/01/15,CT,637572,9556
2022/01/15,WY,126468,1588
2022/01/15,WV,382958,5516
2022/01/15,TX,5472025,75934
2022/01/15,VA,1368271,15809
2022/01/15,IA,645410,8201
2022/01/15,NC,2011302,19903
2022/01/15,IL,2589640,32532
